series,episode,baker_id,baker_short,result,technical_rank,n_in_technical,signature_name,showstopper_name,handshake_signature,handshake_showstopper,appeared
1,1,1-annetha,Annetha,HIGH,2,6,Light Jamaican Black Cake with Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",,,1
1,1,1-david,David,LOW,3,6,Chocolate Orange Cake,"Black Forest Floor Gateau with Chocolate Leaves, Fallen Fruit, and Chocolate Mushrooms",,,1
1,1,1-edd,Edd,HIGH,1,6,Caramel Cinnamon and Banana Cake,UNKNOWN,,,1
1,1,1-jonathan,Jonathan,SAFE,9,6,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,,,1
1,1,1-lea,Lea,OUT,10,6,Cranberry and Pistachio Cake with Orange Flower Water Icing,Raspberries and Cream-filled Chocolate Cake with Chocolate-dipped Fresh Fruit,,,1
1,1,1-louise,Louise,LOW,,6,Carrot and Orange Cake,Never Fail Chocolate Sponge Cake with Fresh Fruit,,,1
1,1,1-mark,Mark,OUT,,6,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake,,,1
1,1,1-miranda,Miranda,HIGH,8,6,Triple Layered Brownie Meringue Cake with Raspberry Cream,Three Tiered Chocolate Fudge Cake with Handmade Chocolate Button Decorations,,,1
1,1,1-ruth,Ruth,HIGH,,6,Lemon Drizzle Cake with Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collar topped with Handmade White and Dark Chocolate Truffles,,,1
1,2,1-annetha,Annetha,OUT,7,8,Rose Petal Shortbread,Pink Swirl Macarons Eclairs,,,1
1,2,1-david,David,LOW,8,8,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans Plain Meringues,,,1
1,2,1-edd,Edd,HIGH,6,8,Oatmeal Raisin Cookies,Pink Macarons Passion Fruit Meringues,,,1
1,2,1-jonathan,Jonathan,HIGH,1,8,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream and Chocolate,,,1
1,2,1-louise,Louise,OUT,4,8,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringue Baskets Chocolate Eclairs Orange, Yellow and Pink Macarons",,,1
1,2,1-miranda,Miranda,HIGH,3,8,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,,,1
1,2,1-ruth,Ruth,SAFE,5,8,Peanut Shortbread with Salted Peanut Caramel,Almond Macaron with Violet Buttercream Raspberries and Cream Eclairs,,,1
1,3,1-david,David,LOW,4,6,Chilli Bread,Walnut and Seed Roll Red Berry and Almond Bun Tomato and Herb Rolls,,,1
1,3,1-edd,Edd,HIGH,1,6,Olive Bread,"Tomato, Mozzarella, and Chorizo Rolls Chelsea Buns Hot Cross Buns",,,1
1,3,1-jonathan,Jonathan,OUT,6,6,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Buns Olive and Anchovy Rolls Sun-Dried Tomato and Fresh Herb Rolls Stilton, Walnut and Braeburn Apple Rolls Cinnamon, Cardamom, and Sultana Chelsea Buns with Icing",,,1
1,3,1-miranda,Miranda,SAFE,3,6,Walnut and Apricot Bread,Lemon Iced Buns Chocolate and Orange Buns Cranberry Buns with Icing Sugar,,,1
1,3,1-ruth,Ruth,HIGH,2,6,Maple and Pecan Bread,Chocolate and Orange Panettone Cranberry Bagels,,,1
1,4,1-david,David,OUT,5,5,Pear and Walnut Pudding,Apple and Blackberry Crumble Rhubarb and Orange Betty Suet Pear,,,1
1,4,1-edd,Edd,LOW,3,5,Apple and Plum Pudding,Apple and Cinnamon Crumble Nutella Banana Brioche Bread Pudding Rhubarb and Strawberry Suet Layer,,,1
1,4,1-miranda,Miranda,HIGH,1,5,Sticky Toffee Pudding,Queen of Puddings Chocolate Pear Roly Poly Strawberry and Rhubarb Crumble,,,1
1,4,1-ruth,Ruth,HIGH,4,5,Peach and Blueberry Boy Bait,Apple and Ginger Crumble Rhubarb Suet Pudding Cherry Queen of Puddings,,,1
