baker_id,series,baker_full,baker_short,age,occupation,occupation_group,hometown,place,elimination_episode,is_winner,is_runner_up,n_star_baker,n_technical_win,pronouns,years_baking_est,precision_job,chaos_self_describe,heritage_flavours,visual_showstopper,backup_baker,savoury_bias,started_late,bio_url,name_source,notes
1-lea,1,Lea Harris,Lea,51,Retired,retired,Midlothian,9,1,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
1-mark,1,Mark Whithers,Mark,48,Bus Driver,other,South Wales,,1,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
1-annetha,1,Annetha Mills,Annetha,30,Midwife,healthcare,Essex,7,2,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
1-louise,1,Louise Brimelow,Louise,44,Police Officer,other,Manchester,,2,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
1-jonathan,1,Jonathan Shepherd,Jonathan,25,Research Analyst,stem_medical,St Albans,6,3,0,0,0,1,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
1-david,1,David Chambers,David,31,Entrepreneur,other,Milton Keynes,5,4,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
1-jas,1,"Jasminder ""Jas"" Randhawa",Jas,45,Assistant Credit Control Manager,other,Birmingham,4,5,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
1-miranda,1,Miranda Gore Browne,Miranda,37,Food buyer for Marks & Spencer,food_adjacent,Midhurst,3,6,0,0,0,2,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
1-ruth,1,Ruth Clemens,Ruth,31,Retail manager/Housewife,other,Pointon,2,6,0,1,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
1-edd,1,Edward 'Edd' Kimber,Edd,24,Debt collector for Yorkshire Bank,other,Bradford,1,6,1,0,0,2,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,wikipedia-series-page,
2-keith,2,Keith Batsford,Keith,31,House husband,other,Arlesey,12,1,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-simon,2,Simon Blackwell,Simon,31,Rugby Coach,other,Norfolk,11,2,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-ian,2,Ian Vallance,Ian,40,Fundraiser for English Heritage,other,Dunstable,9,3,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-urvashi,2,Urvashi Roe,Urvashi,40,Head of Marketing,other,Enfield,,3,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-ben,2,Ben Frazer,Ben,31,Graphic Designer,creative,Northampton,8,4,0,0,0,1,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-jason,2,Jason White,Jason,19,Civil Engineering Student,stem_medical,Croydon,6,5,0,0,2,1,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-robert,2,Robert Billington,Robert,25,Photographer,creative,London,,5,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-yasmin,2,Yasmin Limbert,Yasmin,43,Childminder,other,West Kirby,5,6,0,0,1,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-janet,2,Janet Basu,Janet,63,Teacher of Modern Languages,other,Formby,4,7,0,0,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-holly,2,Holly Bell,Holly,31,Advertising executive,creative,Leicester,2,8,0,1,2,2,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-mary-anne,2,Mary-Anne Boermans,Mary-Anne,45,Housewife,other,Kidderminster,2,8,0,1,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
2-jo,2,"Joanne ""Jo"" Wheatley",Jo,41,Housewife,other,Ongar,1,8,1,0,1,3,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,wikipedia-series-page,
3-natasha,3,Natasha Stringer,Natasha,36,Midwife,healthcare,"Tamworth, England",12,1,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_3,wikipedia-series-page,
3-peter,3,Peter Maloney,Peter,43,Sales manager,other,"Windsor, England",11,2,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_3,wikipedia-series-page,
3-victoria,3,Victoria Chester,Victoria,50,CEO of the charity Plantlife,other,"Somerset, England",10,3,0,0,1,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_3,wikipedia-series-page,
3-stuart,3,Stuart Marston-Smith,Stuart,26,PE teacher,other,"Lichfield, England",9,4,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_3,wikipedia-series-page,
3-manisha,3,Manisha Parmar,Manisha,27,Nursery nurse,stem_medical,"Leicester, England",8,5,0,0,0,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_3,wikipedia-series-page,
3-sarah-jane,3,Sarah-Jane Willis,Sarah-Jane,28,Vicar's wife,other,"Bewbush, England",6,7,0,0,0,1,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_3,wikipedia-series-page,
3-ryan,3,Ryan Chong,Ryan,38,Photographer,creative,"Bristol, England",,7,0,0,1,0,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_3,wikipedia-series-page,
3-cathryn,3,Cathryn Dresser,Cathryn,27,Shop assistant,other,"Pease Pottage, England",5,8,0,0,0,1,,,,,,,,,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_3,wikipedia-series-page,
