series,episode,title,theme,technical_set_by,n_bakers_start,n_eliminated,n_star_baker,no_elimination_flag,double_elimination_flag
1,1,Episode 1: Cakes,Cakes,,10,2,0,0,1
1,2,Episode 2: Biscuits,Biscuits,,8,2,0,0,1
1,3,Episode 3: Bread,Bread,,6,1,0,0,0
1,4,Episode 4: Puddings,Puddings,,5,1,0,0,0
1,5,Episode 5: Pastry,Pastry,,4,1,0,0,0
1,6,Episode 6: Tea Party (Final),Tea Party,,3,1,0,0,0
2,1,Episode 1: Cakes,Cakes,,12,1,1,0,0
2,2,Episode 2: Tarts,Tarts,,11,1,1,0,0
2,3,Episode 3: Bread,Bread,,10,2,1,0,1
2,4,Episode 4: Biscuits,Biscuits,,8,1,2,0,0
2,5,Episode 5: Pies,Pies,,7,2,1,0,1
2,6,Episode 6: Desserts (Quarterfinals),Desserts,,5,1,1,0,0
2,7,Episode 7: Pâtisserie (Semi-final),Pâtisserie,,4,1,0,0,0
2,8,Episode 8: Final,Final,,3,0,0,0,0
3,1,Episode 1: Cakes,Cakes,,12,1,1,0,0
3,2,Episode 2: Bread,Bread,,11,1,1,0,0
3,3,Episode 3: Tarts,Tarts,,10,1,1,0,0
3,4,Episode 4: Desserts,Desserts,,9,1,1,0,0
3,5,Episode 5: Pies,Pies,,8,1,1,0,0
3,6,Episode 6: Puddings,Puddings,,7,0,1,1,0
3,7,Episode 7: Sweet Dough,Sweet Dough,,7,2,1,0,1
3,8,Episode 8: Biscuits,Biscuits,,5,1,1,0,0
3,9,Episode 9: Pâtisserie (Semifinal),Pâtisserie,,4,1,1,0,0
3,10,Episode 10: Final,Final,,3,0,0,0,0
4,1,Episode 1: Cakes,Cakes,,13,1,1,0,0
4,2,Episode 2: Bread,Bread,,12,1,1,0,0
4,3,Episode 3: Desserts,Desserts,,11,2,1,0,1
4,4,Episode 4: Pies and Tarts,Pies and Tarts,,9,1,1,0,0
4,5,Episode 5: Biscuits and Traybakes,Biscuits and Traybakes,,8,1,1,0,0
4,6,Episode 6: Sweet Dough,Sweet Dough,,7,1,1,0,0
4,7,Episode 7: Pastry,Pastry,,6,1,1,0,0
4,8,Episode 8: Alternative Ingredients (Quarterfinals),Alternative Ingredients,,5,1,1,0,0
4,9,Episode 9: French week (Semi-final),French week,,4,1,1,0,0
4,10,Episode 10: Final,Final,,3,0,0,0,0
5,1,Episode 1: Cakes,Cakes,,12,1,1,0,0
5,2,Episode 2: Biscuits,Biscuits,,11,1,1,0,0
5,3,Episode 3: Bread,Bread,,10,1,1,0,0
5,4,Episode 4: Desserts,Desserts,,9,1,1,0,0
