source_id,name,url,retrieved_at,series_from,series_to,fields,method,license,tos_risk,notes
wiki-series-1,The Great British Bake Off series 1,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_1,2026-09-17T08:58:07Z,1,1,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-2,The Great British Bake Off series 2,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_2,2026-09-17T08:58:07Z,2,2,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-3,The Great British Bake Off series 3,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_3,2026-09-17T08:58:07Z,3,3,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-4,The Great British Bake Off series 4,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_4,2026-09-17T08:58:07Z,4,4,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-5,The Great British Bake Off series 5,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_5,2026-09-17T08:58:07Z,5,5,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-6,The Great British Bake Off series 6,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_6,2026-09-17T08:58:07Z,6,6,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-7,The Great British Bake Off series 7,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_7,2026-09-17T08:58:07Z,7,7,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-8,The Great British Bake Off series 8,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_8,2026-09-17T08:58:07Z,8,8,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-9,The Great British Bake Off series 9,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_9,2026-09-17T08:58:07Z,9,9,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-10,The Great British Bake Off series 10,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_10,2026-09-17T08:58:07Z,10,10,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-11,The Great British Bake Off series 11,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_11,2026-09-17T08:58:07Z,11,11,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-12,The Great British Bake Off series 12,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_12,2026-09-17T08:58:07Z,12,12,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-13,The Great British Bake Off series 13,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_13,2026-09-17T08:58:07Z,13,13,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-14,The Great British Bake Off series 14,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_14,2026-09-17T08:58:07Z,14,14,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-15,The Great British Bake Off series 15,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_15,2026-09-17T08:58:07Z,15,15,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-16,The Great British Bake Off series 16,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_16,2026-09-17T08:58:07Z,16,16,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
wiki-series-17,The Great British Bake Off series 17,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off_series_17,2026-09-17T08:58:07Z,17,17,"bakers,episodes,baker_episode,results_chart",wikipedia-parse-api-wikitext,CC BY-SA 4.0,low,Cached under data/raw/wiki/. Reuse requires attribution.
official-s17-bios,Meet the Class of 2026,https://thegreatbritishbakeoff.co.uk/meet-the-class-of-2026/,2026-09-17T08:58:07Z,17,17,"structured bio facts only, not copied prose",manual extraction,facts; prose remains Love Productions copyright,medium,Do not dump full bios into the repo.
c4-press-s17,Channel 4 Meet the Bakers,https://www.channel4.com/press/news/great-british-bake-2026-meet-bakers,2026-09-17T08:58:07Z,17,17,"age, occupation, hometown",manual,press facts,low,
